probe_number,X,Y,Z,checkerboard_number
14,-61.76470588235294,-285.0,1000,0
17,-8.823529411764707,-285.0,1000,0
18,8.823529411764707,-285.0,1000,0
19,26.47058823529412,-285.0,1000,0
32,255.8823529411765,-285.0,1000,0
41,-185.29411764705884,-255.0,1000,0
46,-97.05882352941177,-255.0,1000,0
49,-44.11764705882353,-255.0,1000,0
50,-26.47058823529412,-255.0,1000,0
59,132.3529411764706,-255.0,1000,0
60,150.0,-255.0,1000,0
62,185.29411764705884,-255.0,1000,0
63,202.94117647058826,-255.0,1000,0
66,255.8823529411765,-255.0,1000,0
67,273.5294117647059,-255.0,1000,0
73,-220.58823529411765,-225.0,1000,0
85,-8.823529411764707,-225.0,1000,0
95,167.64705882352942,-225.0,1000,0
105,-255.8823529411765,-195.0,1000,0
106,-238.23529411764707,-195.0,1000,0
113,-114.70588235294119,-195.0,1000,0
115,-79.41176470588236,-195.0,1000,0
123,61.76470588235294,-195.0,1000,0
132,220.58823529411765,-195.0,1000,0
136,291.1764705882353,-195.0,1000,0
137,-291.1764705882353,-165.0,1000,0
140,-238.23529411764707,-165.0,1000,0
142,-202.94117647058826,-165.0,1000,0
146,-132.3529411764706,-165.0,1000,0
149,-79.41176470588236,-165.0,1000,0
151,-44.11764705882353,-165.0,1000,0
160,114.70588235294119,-165.0,1000,0
161,132.3529411764706,-165.0,1000,0
164,185.29411764705884,-165.0,1000,0
173,-255.8823529411765,-135.0,1000,0
176,-202.94117647058826,-135.0,1000,0
180,-132.3529411764706,-135.0,1000,0
181,-114.70588235294119,-135.0,1000,0
183,-79.41176470588236,-135.0,1000,0
194,114.70588235294119,-135.0,1000,0
202,255.8823529411765,-135.0,1000,0
212,-167.64705882352942,-105.0,1000,0
215,-114.70588235294119,-105.0,1000,0
219,-44.11764705882353,-105.0,1000,0
224,44.11764705882353,-105.0,1000,0
228,114.70588235294119,-105.0,1000,0
230,150.0,-105.0,1000,0
234,220.58823529411765,-105.0,1000,0
237,273.5294117647059,-105.0,1000,0
238,291.1764705882353,-105.0,1000,0
246,-167.64705882352942,-75.0,1000,0
249,-114.70588235294119,-75.0,1000,0
250,-97.05882352941177,-75.0,1000,0
260,79.41176470588236,-75.0,1000,0
264,150.0,-75.0,1000,0
266,185.29411764705884,-75.0,1000,0
268,220.58823529411765,-75.0,1000,0
269,238.23529411764707,-75.0,1000,0
270,255.8823529411765,-75.0,1000,0
279,-185.29411764705884,-45.0,1000,0
282,-132.3529411764706,-45.0,1000,0
292,44.11764705882353,-45.0,1000,0
296,114.70588235294119,-45.0,1000,0
299,167.64705882352942,-45.0,1000,0
301,202.94117647058826,-45.0,1000,0
304,255.8823529411765,-45.0,1000,0
313,-185.29411764705884,-15.0,1000,0
314,-167.64705882352942,-15.0,1000,0
317,-114.70588235294119,-15.0,1000,0
321,-44.11764705882353,-15.0,1000,0
325,26.47058823529412,-15.0,1000,0
327,61.76470588235294,-15.0,1000,0
337,238.23529411764707,-15.0,1000,0
339,273.5294117647059,-15.0,1000,0
340,291.1764705882353,-15.0,1000,0
351,-114.70588235294119,15.0,1000,0
357,-8.823529411764707,15.0,1000,0
368,185.29411764705884,15.0,1000,0
370,220.58823529411765,15.0,1000,0
375,-291.1764705882353,45.0,1000,0
383,-150.0,45.0,1000,0
384,-132.3529411764706,45.0,1000,0
394,44.11764705882353,45.0,1000,0
396,79.41176470588236,45.0,1000,0
409,-291.1764705882353,75.0,1000,0
416,-167.64705882352942,75.0,1000,0
420,-97.05882352941177,75.0,1000,0
422,-61.76470588235294,75.0,1000,0
425,-8.823529411764707,75.0,1000,0
428,44.11764705882353,75.0,1000,0
430,79.41176470588236,75.0,1000,0
433,132.3529411764706,75.0,1000,0
441,273.5294117647059,75.0,1000,0
442,291.1764705882353,75.0,1000,0
444,-273.5294117647059,105.0,1000,0
454,-97.05882352941177,105.0,1000,0
455,-79.41176470588236,105.0,1000,0
461,26.47058823529412,105.0,1000,0
463,61.76470588235294,105.0,1000,0
468,150.0,105.0,1000,0
471,202.94117647058826,105.0,1000,0
473,238.23529411764707,105.0,1000,0
475,273.5294117647059,105.0,1000,0
477,-291.1764705882353,135.0,1000,0
486,-132.3529411764706,135.0,1000,0
491,-44.11764705882353,135.0,1000,0
497,61.76470588235294,135.0,1000,0
503,167.64705882352942,135.0,1000,0
504,185.29411764705884,135.0,1000,0
506,220.58823529411765,135.0,1000,0
509,273.5294117647059,135.0,1000,0
512,-273.5294117647059,165.0,1000,0
517,-185.29411764705884,165.0,1000,0
521,-114.70588235294119,165.0,1000,0
532,79.41176470588236,165.0,1000,0
536,150.0,165.0,1000,0
544,291.1764705882353,165.0,1000,0
564,44.11764705882353,195.0,1000,0
580,-273.5294117647059,225.0,1000,0
595,-8.823529411764707,225.0,1000,0
596,8.823529411764707,225.0,1000,0
602,114.70588235294119,225.0,1000,0
604,150.0,225.0,1000,0
607,202.94117647058826,225.0,1000,0
620,-167.64705882352942,255.0,1000,0
621,-150.0,255.0,1000,0
630,8.823529411764707,255.0,1000,0
633,61.76470588235294,255.0,1000,0
636,114.70588235294119,255.0,1000,0
639,167.64705882352942,255.0,1000,0
642,220.58823529411765,255.0,1000,0
648,-273.5294117647059,285.0,1000,0
649,-255.8823529411765,285.0,1000,0
